code,parent,urn,name#es,name#en,name#ca,name#eu,name#gl,description#es,description#en,description#ca,description#eu,description#gl
_T,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000)._T,Todas las universidades,,,,,,,,,
UNIVERSIDADES_PUBLICAS,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS,Universidades Públicas,,,,,,,,,
UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,Universidades Públicas Presenciales,,,,,,,,,
001,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).001,Universidad de Alicante,,,,,,,,,
002,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).002,Universidad de Extremadura,,,,,,,,,
003,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).003,Universidad de las Illes Balears,,,,,,,,,
004,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).004,Universidad de Barcelona,,,,,,,,,
005,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).005,Universidad de Cádiz,,,,,,,,,
006,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).006,Universidad de Córdoba,,,,,,,,,
007,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).007,Universidad de Santiago de Compostela,,,,,,,,,
